filepath,person_id,sign_id,sign_name,sample_id,num_frames
data/processed/person_00_sign_000_sample_00.npy,0,0,số_0,0,30
data/processed/person_00_sign_000_sample_01.npy,0,0,số_0,1,30
data/processed/person_00_sign_000_sample_02.npy,0,0,số_0,2,30
data/processed/person_00_sign_000_sample_03.npy,0,0,số_0,3,30
data/processed/person_00_sign_000_sample_04.npy,0,0,số_0,4,30
data/processed/person_00_sign_000_sample_05.npy,0,0,số_0,5,30
data/processed/person_00_sign_000_sample_06.npy,0,0,số_0,6,30
data/processed/person_00_sign_000_sample_07.npy,0,0,số_0,7,30
data/processed/person_00_sign_000_sample_08.npy,0,0,số_0,8,30
data/processed/person_00_sign_000_sample_09.npy,0,0,số_0,9,30
data/processed/person_00_sign_000_sample_10.npy,0,0,số_0,10,30
data/processed/person_00_sign_000_sample_11.npy,0,0,số_0,11,30
data/processed/person_00_sign_000_sample_12.npy,0,0,số_0,12,30
data/processed/person_00_sign_000_sample_13.npy,0,0,số_0,13,30
data/processed/person_00_sign_000_sample_14.npy,0,0,số_0,14,30
data/processed/person_00_sign_000_sample_15.npy,0,0,số_0,15,30
data/processed/person_00_sign_000_sample_16.npy,0,0,số_0,16,30
data/processed/person_00_sign_000_sample_17.npy,0,0,số_0,17,30
data/processed/person_00_sign_000_sample_18.npy,0,0,số_0,18,30
data/processed/person_00_sign_000_sample_19.npy,0,0,số_0,19,30
data/processed/person_00_sign_001_sample_00.npy,0,1,số_1,0,30
data/processed/person_00_sign_001_sample_01.npy,0,1,số_1,1,30
data/processed/person_00_sign_001_sample_02.npy,0,1,số_1,2,30
data/processed/person_00_sign_001_sample_03.npy,0,1,số_1,3,30
data/processed/person_00_sign_001_sample_04.npy,0,1,số_1,4,30
data/processed/person_00_sign_001_sample_05.npy,0,1,số_1,5,30
data/processed/person_00_sign_001_sample_06.npy,0,1,số_1,6,30
data/processed/person_00_sign_001_sample_07.npy,0,1,số_1,7,30
data/processed/person_00_sign_001_sample_08.npy,0,1,số_1,8,30
data/processed/person_00_sign_001_sample_09.npy,0,1,số_1,9,30
data/processed/person_00_sign_001_sample_10.npy,0,1,số_1,10,30
data/processed/person_00_sign_001_sample_11.npy,0,1,số_1,11,30
data/processed/person_00_sign_001_sample_12.npy,0,1,số_1,12,30
data/processed/person_00_sign_001_sample_13.npy,0,1,số_1,13,30
data/processed/person_00_sign_001_sample_14.npy,0,1,số_1,14,30
data/processed/person_00_sign_001_sample_15.npy,0,1,số_1,15,30
data/processed/person_00_sign_001_sample_16.npy,0,1,số_1,16,30
data/processed/person_00_sign_001_sample_17.npy,0,1,số_1,17,30
data/processed/person_00_sign_001_sample_18.npy,0,1,số_1,18,30
data/processed/person_00_sign_001_sample_19.npy,0,1,số_1,19,30
data/processed/person_00_sign_002_sample_00.npy,0,2,số_2,0,30
data/processed/person_00_sign_002_sample_01.npy,0,2,số_2,1,30
data/processed/person_00_sign_002_sample_02.npy,0,2,số_2,2,30
data/processed/person_00_sign_002_sample_03.npy,0,2,số_2,3,30
data/processed/person_00_sign_002_sample_04.npy,0,2,số_2,4,30
data/processed/person_00_sign_002_sample_05.npy,0,2,số_2,5,30
data/processed/person_00_sign_002_sample_06.npy,0,2,số_2,6,30
data/processed/person_00_sign_002_sample_07.npy,0,2,số_2,7,30
data/processed/person_00_sign_002_sample_08.npy,0,2,số_2,8,30
data/processed/person_00_sign_002_sample_09.npy,0,2,số_2,9,30
data/processed/person_00_sign_002_sample_10.npy,0,2,số_2,10,30
data/processed/person_00_sign_002_sample_11.npy,0,2,số_2,11,30
data/processed/person_00_sign_002_sample_12.npy,0,2,số_2,12,30
data/processed/person_00_sign_002_sample_13.npy,0,2,số_2,13,30
data/processed/person_00_sign_002_sample_14.npy,0,2,số_2,14,30
data/processed/person_00_sign_002_sample_15.npy,0,2,số_2,15,30
data/processed/person_00_sign_002_sample_16.npy,0,2,số_2,16,30
data/processed/person_00_sign_002_sample_17.npy,0,2,số_2,17,30
data/processed/person_00_sign_002_sample_18.npy,0,2,số_2,18,30
data/processed/person_00_sign_002_sample_19.npy,0,2,số_2,19,30
data/processed/person_00_sign_003_sample_00.npy,0,3,số_3,0,30
data/processed/person_00_sign_003_sample_01.npy,0,3,số_3,1,30
data/processed/person_00_sign_003_sample_02.npy,0,3,số_3,2,30
data/processed/person_00_sign_003_sample_03.npy,0,3,số_3,3,30
data/processed/person_00_sign_003_sample_04.npy,0,3,số_3,4,30
data/processed/person_00_sign_003_sample_05.npy,0,3,số_3,5,30
data/processed/person_00_sign_003_sample_06.npy,0,3,số_3,6,30
data/processed/person_00_sign_003_sample_07.npy,0,3,số_3,7,30
data/processed/person_00_sign_003_sample_08.npy,0,3,số_3,8,30
data/processed/person_00_sign_003_sample_09.npy,0,3,số_3,9,30
data/processed/person_00_sign_003_sample_10.npy,0,3,số_3,10,30
data/processed/person_00_sign_003_sample_11.npy,0,3,số_3,11,30
data/processed/person_00_sign_003_sample_12.npy,0,3,số_3,12,30
data/processed/person_00_sign_003_sample_13.npy,0,3,số_3,13,30
data/processed/person_00_sign_003_sample_14.npy,0,3,số_3,14,30
data/processed/person_00_sign_003_sample_15.npy,0,3,số_3,15,30
data/processed/person_00_sign_003_sample_16.npy,0,3,số_3,16,30
data/processed/person_00_sign_003_sample_17.npy,0,3,số_3,17,30
data/processed/person_00_sign_003_sample_18.npy,0,3,số_3,18,30
data/processed/person_00_sign_003_sample_19.npy,0,3,số_3,19,30
data/processed/person_00_sign_004_sample_00.npy,0,4,số_4,0,30
data/processed/person_00_sign_004_sample_01.npy,0,4,số_4,1,30
data/processed/person_00_sign_004_sample_02.npy,0,4,số_4,2,30
data/processed/person_00_sign_004_sample_03.npy,0,4,số_4,3,30
data/processed/person_00_sign_004_sample_04.npy,0,4,số_4,4,30
data/processed/person_00_sign_004_sample_05.npy,0,4,số_4,5,30
data/processed/person_00_sign_004_sample_06.npy,0,4,số_4,6,30
data/processed/person_00_sign_004_sample_07.npy,0,4,số_4,7,30
data/processed/person_00_sign_004_sample_08.npy,0,4,số_4,8,30
data/processed/person_00_sign_004_sample_09.npy,0,4,số_4,9,30
data/processed/person_00_sign_004_sample_10.npy,0,4,số_4,10,30
data/processed/person_00_sign_004_sample_11.npy,0,4,số_4,11,30
data/processed/person_00_sign_004_sample_12.npy,0,4,số_4,12,30
data/processed/person_00_sign_004_sample_13.npy,0,4,số_4,13,30
data/processed/person_00_sign_004_sample_14.npy,0,4,số_4,14,30
